nationality_code;first_name;last_name;date_of_birth;height_cm;weight_kg;spike_reach_cm;block_reach_cm;playing_position;dominant_hand;photo_url;bio
CA;Luke;Herr;18/07/1994;194;82;325;307;setter;right;;
CA;Nicholas;Hoag;19/08/1992;200;97;350;323;outside_hitter;right;;
CA;Brodie;Hofer;27/04/2000;199;92;358;330;outside_hitter;right;;
CA;Danny;Demyanenko;13/07/1994;196;101;355;325;middle_blocker;right;;
CA;Stephen;Maar;06/12/1994;199;99;347;315;outside_hitter;right;;
CA;Brett;Walsh;19/02/1994;195;84;347;315;setter;right;;
CA;Xander;Ketrzynski;27/01/2000;207;100;370;335;opposite;right;;
CA;Lucas;Berkel;29/11/1991;210;108;350;326;middle_blocker;right;;
CA;Arthur;Szwarc;30/03/1995;209;97;360;337;opposite;right;;
CA;Justin;Lui;08/05/2000;178;77;318;303;libero;right;;
CA;Fynn;McCarthy;04/12/1999;200;101;362;321;middle_blocker;right;;
CA;Eric;Loeppky;01/08/1998;197;89;355;325;outside_hitter;right;;
FR;Barthélémy;Chinenyeze;28/02/1998;204;80;365;335;middle_blocker;right;;
FR;Jenia;Grebennikov;13/08/1990;188;85;345;300;libero;right;;
FR;Jean;Patry;27/12/1996;207;94;357;334;opposite;right;;
FR;Benjamin;Toniutti;30/10/1989;183;74;320;300;setter;right;;
FR;Kévin;Tillie;02/11/1990;200;85;345;325;outside_hitter;right;;
FR;Earvin;Ngapeth;12/02/1991;194;96;358;327;outside_hitter;right;;
FR;Antoine;Brizard;22/05/1994;196;96;340;310;setter;right;;
FR;Nicolas;Le Goff;15/02/1992;206;112;365;345;middle_blocker;right;;
FR;Trévor;Clévenot;28/06/1994;199;90;345;326;outside_hitter;right;;
FR;Yacine;Louati;04/03/1992;198;90;345;324;outside_hitter;right;;
FR;Théo;Faure;12/10/1999;202;90;340;325;opposite;right;;
FR;Quentin;Jouffroy;05/07/1993;203;97;345;325;middle_blocker;right;;
RS;Uroš;Kovačević;06/05/1993;197;94;340;320;outside_hitter;left;;
RS;Petar;Krsmanović;01/06/1990;205;98;354;330;middle_blocker;right;;
RS;Marko;Ivović;22/12/1990;194;92;365;330;outside_hitter;right;;
RS;Nikola;Jovović;13/02/1992;197;75;335;315;setter;right;;
RS;Miran;Kujundžić;19/06/1997;196;86;348;334;outside_hitter;right;;
RS;Aleksandar;Atanasijević;04/09/1991;202;94;350;329;opposite;right;;
RS;Dražen;Luburić;02/11/1993;205;106;337;331;opposite;right;;
RS;Marko;Podraščanin;29/08/1987;204;98;354;332;middle_blocker;right;;
RS;Vuk;Todorović;23/04/1998;190;80;315;305;setter;right;;
RS;Aleksandar;Nedeljković;27/10/1997;207;107;365;345;middle_blocker;right;;
SI;Tonček;Štern;14/11/1995;200;93;352;340;opposite;right;;
SI;Alen;Pajenk;23/04/1986;203;92;366;336;middle_blocker;right;;
SI;Jan;Kozamernik;24/12/1995;204;106;360;340;middle_blocker;right;;
SI;Dejan;Vinčić;15/09/1986;200;91;344;329;setter;right;;
SI;Sašo;Štalekar;03/05/1996;214;98;354;340;middle_blocker;right;;
SI;Jani;Kovačič;14/06/1992;186;83;320;305;libero;right;;
SI;Žiga;Štern;02/01/1994;193;86;346;330;outside_hitter;right;;
SI;Gregor;Ropret;01/03/1989;192;91;343;325;setter;right;;
SI;Tine;Urnaut;03/09/1988;200;87;350;332;outside_hitter;right;;
SI;Klemen;Čebulj;21/02/1992;202;92;368;340;outside_hitter;right;;
SI;Rok;Možič;17/01/2002;200;78;359;340;outside_hitter;right;;
SI;Nik;Mujanović;14/10/2004;206;90;342;324;opposite;right;;
BR;Bruno;Rezende;02/07/1986;190;76;334;318;setter;right;;
BR;Lukas;Bergmann;25/03/2004;205;90;344;316;outside_hitter;right;;
BR;Adriano;Xavier;06/02/2002;201;83;340;325;outside_hitter;right;;
BR;Yoandy;Leal;31/08/1988;201;107;371;340;outside_hitter;right;;
BR;Isac;Santos;13/12/1990;208;99;340;306;middle_blocker;right;;
BR;Fernando;Kreling;13/01/1996;185;85;320;302;setter;right;;
BR;Lucas;Saatkamp;06/03/1986;210;101;360;340;middle_blocker;right;;
BR;Thales;Hoss;26/04/1989;190;80;320;303;libero;right;;
BR;Ricardo;Lucarelli;14/02/1992;196;90;355;340;outside_hitter;right;;
BR;Alan;Souza;21/03/1994;202;98;367;343;opposite;right;;
BR;Flávio;Gualberto;22/04/1993;200;92;356;345;middle_blocker;right;;
BR;Darlan;Souza;24/06/2002;193;97;370;333;opposite;right;;
EG;Mohamed;Hassan;28/09/1993;175;70;290;275;libero;right;;
EG;Seifeldin;Aly;14/07/1999;193;90;306;282;opposite;right;;
EG;Hossam;Abdalla;16/02/1988;203;97;345;338;setter;right;;
EG;Reda;Haikal;07/11/1990;198;85;359;342;opposite;right;;
IT;Alessandro;Michieletto;05/12/2001;211;88;375;355;outside_hitter;left;;
IT;Simone;Giannelli;09/08/1996;200;80;363;335;setter;right;;
IT;Fabio;Balaso;20/10/1995;180;79;310;290;libero;right;;
IT;Riccardo;Sbertoli;23/05/1998;190;;326;;setter;right;;
IT;Giovanni;Sanguinetti;14/04/2000;202;87;346;317;middle_blocker;right;;
IT;Mattia;Bottolo;03/01/2000;196;77;336;316;outside_hitter;right;;
IT;Gianluca;Galassi;24/07/1997;201;94;350;325;middle_blocker;right;;
IT;Daniele;Lavia;04/11/1999;200;;345;315;outside_hitter;right;;
IT;Yuri;Romanò;26/07/1997;201;89;354;349;opposite;left;;
IT;Roberto;Russo;23/02/1997;207;91;340;320;middle_blocker;right;;
IT;Alessandro;Bovolenta;27/05/2004;207;90;352;340;opposite;right;;
IT;Luca;Porro;09/05/2004;193;78;340;332;outside_hitter;right;;
PL;Łukasz;Kaczmarek;29/06/1994;204;99;354;332;opposite;right;;
PL;Bartosz;Kurek;29/08/1988;205;104;375;340;opposite;right;;
PL;Wilfredo;León;31/07/1993;201;96;385;346;outside_hitter;right;;
PL;Aleksander;Śliwka;24/05/1995;196;83;350;332;outside_hitter;left;;
PL;Grzegorz;Łomacz;01/10/1987;187;81;336;309;setter;right;;
PL;Jakub;Kochanowski;17/07/1997;199;83;353;323;middle_blocker;right;;
PL;Kamil;Semeniuk;16/07/1996;194;85;352;326;outside_hitter;right;;
PL;Paweł;Zatorski;21/06/1990;184;73;328;304;libero;right;;
PL;Marcin;Janusz;31/07/1994;196;92;345;330;setter;right;;
PL;Mateusz;Bieniek;05/04/1994;210;98;365;330;middle_blocker;right;;
PL;Tomasz;Fornal;31/08/1997;200;92;350;330;outside_hitter;right;;
PL;Bartłomiej;Bołądź;28/09/1994;203;97;360;;opposite;left;;
PL;Norbert;Huber;14/08/1998;207;91;352;337;middle_blocker;right;;
AR;Matías;Sánchez;20/09/1996;173;64;304;282;setter;right;;
AR;Jan;Franchi;28/01/1998;190;85;330;310;outside_hitter;right;;
AR;Facundo;Conte;25/08/1989;197;85;354;334;outside_hitter;right;;
AR;Agustín;Loser;12/10/1997;201;88;350;340;middle_blocker;right;;
AR;Santiago;Danani;12/12/1995;176;78;324;309;libero;right;;
AR;Bruno;Lima;04/02/1996;198;87;345;320;opposite;right;;
AR;Luciano;De Cecco;02/06/1988;194;90;332;315;setter;right;;
AR;Luciano;Vicentín;04/04/2000;199;98;365;340;outside_hitter;right;;
AR;Martín;Ramos;26/08/1991;197;95;348;328;middle_blocker;right;;
AR;Luciano;Palonsky;08/07/1999;198;83;355;328;outside_hitter;right;;
AR;Nicolás;Zerba;13/06/1999;204;95;345;330;middle_blocker;right;;
DE;Christian;Fromm;15/08/1990;204;99;345;324;outside_hitter;right;;
DE;Moritz;Reichert;15/03/1995;195;80;355;335;outside_hitter;right;;
DE;Johannes;Tille;07/05/1997;186;80;331;330;setter;right;;
DE;György;Grozer;27/11/1984;200;102;374;345;opposite;right;;
DE;Julian;Zenger;26/08/1997;190;81;328;;libero;right;;
DE;Lukas;Kampa;29/11/1986;196;90;335;320;setter;right;;
DE;Anton;Brehme;10/08/1999;206;90;364;345;middle_blocker;right;;
DE;Ruben;Schott;08/07/1994;192;88;340;320;outside_hitter;right;;
DE;Moritz;Karlitzek;12/08/1996;191;85;350;325;outside_hitter;right;;
DE;Tobias;Krick;22/10/1998;213;108;370;350;middle_blocker;right;;
DE;Tobias;Brand;09/07/1998;195;88;354;334;outside_hitter;right;;
DE;Lukas;Maase;28/08/1998;214;95;345;325;middle_blocker;right;;
JP;Yuji;Nishida;30/01/2000;186;87;346;330;opposite;left;;
JP;Taishi;Onodera;27/02/1996;201;94;343;330;middle_blocker;right;;
JP;Akihiro;Fukatsu;23/07/1987;183;78;334;315;setter;right;;
JP;Kento;Miyaura;22/02/1999;190;87;347;320;opposite;left;;
JP;Tatsunori;Otsuka;05/11/2000;195;90;340;325;outside_hitter;right;;
JP;Akihiro;Yamauchi;30/11/1993;204;85;354;335;middle_blocker;right;;
JP;Masahiro;Sekita;20/11/1993;175;72;324;320;setter;right;;
JP;Kentaro;Takahashi;08/02/1995;202;93;361;350;middle_blocker;right;;
JP;Ran;Takahashi;02/09/2001;188;84;343;315;outside_hitter;right;;
JP;Yūki;Ishikawa;11/12/1995;192;84;351;327;outside_hitter;right;;
JP;Masato;Kai;25/09/2003;200;86;357;330;outside_hitter;right;;
JP;Tomohiro;Yamamoto;05/11/1994;171;69;302;300;libero;right;;
US;Matthew;Anderson;18/04/1987;208;100;360;332;opposite;right;;
US;Aaron;Russell;04/06/1993;205;95;356;337;outside_hitter;right;;
US;Jeffrey;Jendryk;15/09/1995;208;90;360;350;middle_blocker;right;;
US;Torey;DeFalco;10/04/1997;198;95;340;328;outside_hitter;right;;
US;Micah;Christenson;08/05/1993;198;88;349;340;setter;right;;
US;Maxwell;Holt;12/03/1987;208;90;351;333;middle_blocker;right;;
US;Micah;Maʻa;16/04/1997;192;88;333;318;setter;right;;
US;Thomas;Jaeschke;04/09/1993;200;90;348;330;outside_hitter;right;;
US;Garrett;Muagututia;26/02/1988;196;92;359;345;outside_hitter;right;;
US;Taylor;Averill;05/03/1992;201;94;360;335;middle_blocker;right;;
US;David;Smith;15/05/1985;202;86;350;330;middle_blocker;right;;
US;Erik;Shoji;24/08/1989;184;80;330;321;libero;right;;
US;Kyle;Ensing;06/03/1997;201;100;366;353;opposite;right;;
CA;Ryley;Barnes;11/10/1993;200;92;348;325;outside_hitter;right;;
FR;Timothée;Carle;30/11/1995;199;83;352;324;outside_hitter;right;;
RS;Nemanja;Mašulović;05/10/1995;205;92;355;330;middle_blocker;right;;
SI;Uroš;Planinšič;09/05/1998;186;84;335;327;setter;right;;
BR;Henrique;Honorato;18/03/1997;190;85;335;310;outside_hitter;right;;
EG;Ahmed;Omar;04/03/1995;196;93;326;315;outside_hitter;right;;
IT;Gabriele;Laurenzano;12/06/2003;176;66;300;290;libero;right;;
AR;Ezequiel;Palacios;02/10/1992;198;92;345;325;outside_hitter;right;;
DE;Jan;Zimmermann;12/02/1993;190;83;335;315;setter;right;;
JP;Shoma;Tomita;20/06/1997;190;80;342;320;outside_hitter;right;;
EG;Ahmed;Azab;01/03/2000;194;74;310;288;outside_hitter;right;;
EG;Mohamed;Elhaddad;22/09/2000;212;105;321;295;middle_blocker;right;;
EG;Abdelrahman;Elhossiny;24/08/2001;186;90;;;outside_hitter;right;;
EG;Mohamed;Sayedin;01/04/1996;192;;;;outside_hitter;right;;
EG;Mohamed;Masoud;01/05/1994;211;115;358;349;middle_blocker;right;;
EG;Abdelrahman;Seoudy;21/08/1997;207;100;344;332;middle_blocker;right;;
EG;Mostafa;Gaber;25/07/1997;191;;316;306;setter;right;;
EG;Mohamed;Issa;12/04/1988;200;80;335;332;outside_hitter;right;;
AR;Pablo;Kukartsev;25/03/1993;203;105;342;322;opposite;right;;
RS;Milorad;Kapur;05/03/1991;180;70;313;306;libero;right;;
RS;Pavle;Perić;07/08/1998;207;96;367;349;outside_hitter;right;;
