jersey_number,first_name,last_name,season_name,start_date,end_date,team_name
2,Luke,Herr,Paris 2024,2024-07-27,2024-08-10,Canada
4,Nicholas,Hoag,Paris 2024,2024-07-27,2024-08-10,Canada
5,Brodie,Hofer,Paris 2024,2024-07-27,2024-08-10,Canada
6,Danny,Demyanenko,Paris 2024,2024-07-27,2024-08-10,Canada
7,Stephen,Maar,Paris 2024,2024-07-27,2024-08-10,Canada
8,Brett,Walsh,Paris 2024,2024-07-27,2024-08-10,Canada
11,Xander,Ketrzynski,Paris 2024,2024-07-27,2024-08-10,Canada
12,Lucas,Berkel,Paris 2024,2024-07-27,2024-08-10,Canada
14,Arthur,Szwarc,Paris 2024,2024-07-27,2024-08-10,Canada
18,Justin,Lui,Paris 2024,2024-07-27,2024-08-10,Canada
33,Fynn,McCarthy,Paris 2024,2024-07-27,2024-08-10,Canada
80,Eric,Loeppky,Paris 2024,2024-07-27,2024-08-10,Canada
17,Ryley,Barnes,Paris 2024,2024-07-27,2024-08-10,Canada
1,Barthélémy,Chinenyeze,Paris 2024,2024-07-27,2024-08-10,France
2,Jenia,Grebennikov,Paris 2024,2024-07-27,2024-08-10,France
4,Jean,Patry,Paris 2024,2024-07-27,2024-08-10,France
6,Benjamin,Toniutti,Paris 2024,2024-07-27,2024-08-10,France
7,Kévin,Tillie,Paris 2024,2024-07-27,2024-08-10,France
9,Earvin,Ngapeth,Paris 2024,2024-07-27,2024-08-10,France
11,Antoine,Brizard,Paris 2024,2024-07-27,2024-08-10,France
14,Nicolas,Le Goff,Paris 2024,2024-07-27,2024-08-10,France
17,Trévor,Clévenot,Paris 2024,2024-07-27,2024-08-10,France
19,Yacine,Louati,Paris 2024,2024-07-27,2024-08-10,France
21,Théo,Faure,Paris 2024,2024-07-27,2024-08-10,France
25,Quentin,Jouffroy,Paris 2024,2024-07-27,2024-08-10,France
23,Timothée,Carle,Paris 2024,2024-07-27,2024-08-10,France
2,Uroš,Kovačević,Paris 2024,2024-07-27,2024-08-10,Serbia
3,Milorad,Kapur,Paris 2024,2024-07-27,2024-08-10,Serbia
7,Petar,Krsmanović,Paris 2024,2024-07-27,2024-08-10,Serbia
8,Marko,Ivović,Paris 2024,2024-07-27,2024-08-10,Serbia
9,Nikola,Jovović,Paris 2024,2024-07-27,2024-08-10,Serbia
10,Miran,Kujundžić,Paris 2024,2024-07-27,2024-08-10,Serbia
12,Pavle,Perić,Paris 2024,2024-07-27,2024-08-10,Serbia
14,Aleksandar,Atanasijević,Paris 2024,2024-07-27,2024-08-10,Serbia
16,Dražen,Luburić,Paris 2024,2024-07-27,2024-08-10,Serbia
18,Marko,Podraščanin,Paris 2024,2024-07-27,2024-08-10,Serbia
21,Vuk,Todorović,Paris 2024,2024-07-27,2024-08-10,Serbia
29,Aleksandar,Nedeljković,Paris 2024,2024-07-27,2024-08-10,Serbia
